stage,variable,center,metric,value,lo,hi,n_support,zero_draw_fraction,nonfinite_draw_fraction
pre-peak,log_sigma_star,7.625,SII_SUM,2.4483243644032697e+38,2.226470293680019e+38,2.67843195258447e+38,8,0.0,0.0
pre-peak,log_sigma_star,7.625,F_ND,0.22737000798761198,0.1389739848532306,0.3157660311219933,8,0.0,0.0
pre-peak,log_sigma_star,7.875,O,0.5371344846610683,0.47034671963835845,0.6063081711201833,8,0.0,0.0
pre-peak,log_sigma_star,7.875,I,0.01582205858846381,0.01311794519256045,0.018312446393667983,8,0.0,0.0
pre-peak,log_sigma_star,7.875,T,0.008498573286191738,0.006488739514261651,0.010521289280905939,8,0.0,0.0
pre-peak,log_sigma_star,7.875,F_SF,0.5371344846610683,0.47034671963835845,0.6063081711201833,8,0.0,0.0
pre-peak,log_sigma_star,7.875,F_NSF,0.3435502967190606,0.27881154341818265,0.40748284614356167,8,0.0,0.0
pre-peak,log_sigma_star,7.875,I_NSF,5.249028959264501e+38,4.469476079944947e+38,6.043842981901769e+38,8,0.0,0.0
pre-peak,log_sigma_star,7.875,J_NSF,1.9267439109047442e+38,1.292008988282839e+38,2.5586503648828146e+38,8,0.0,0.0
pre-peak,log_sigma_star,7.875,HA6562,6.371409280048827e+38,5.7047639468115514e+38,7.0511257746145e+38,8,0.0,0.0
pre-peak,log_sigma_star,7.875,HB4861,2.2280979267617144e+38,1.99504097526364e+38,2.4657025383377406e+38,8,0.0,0.0
pre-peak,log_sigma_star,7.875,OIII5006,1.8834828574246106e+38,1.5289776266405773e+38,2.2483827365291875e+38,8,0.0,0.0
pre-peak,log_sigma_star,7.875,NII6583,2.5512071039694963e+38,2.1979255980294015e+38,2.9086247953643995e+38,8,0.0,0.0
pre-peak,log_sigma_star,7.875,SII_SUM,3.139161237887273e+38,2.8260560867784183e+38,3.457302562330547e+38,8,0.0,0.0
pre-peak,log_sigma_star,7.875,F_ND,0.1193152186198711,0.06109331090708205,0.1778684102742782,8,0.0,0.0
pre-peak,log_sigma_star,8.125,O,0.5874760401162127,0.5271890055507783,0.6490079005791572,8,0.0,0.0
pre-peak,log_sigma_star,8.125,I,0.02516194842659815,0.02091554975057324,0.029096301988363625,8,0.0,0.0
pre-peak,log_sigma_star,8.125,T,0.01478204182326625,0.011596172304550704,0.017963980274321126,8,0.0,0.0
pre-peak,log_sigma_star,8.125,F_SF,0.5874760401162127,0.5271890055507783,0.6490079005791572,8,0.0,0.0
pre-peak,log_sigma_star,8.125,F_NSF,0.3428516307376164,0.2958362783496799,0.38933254997311206,8,0.0,0.0
pre-peak,log_sigma_star,8.125,I_NSF,8.904208898241453e+38,7.005018715083076e+38,1.0850719127590725e+39,8,0.0,0.0
pre-peak,log_sigma_star,8.125,J_NSF,3.3233438647805336e+38,2.028062301842293e+38,4.616393071564761e+38,8,0.0,0.0
pre-peak,log_sigma_star,8.125,HA6562,9.712314034224487e+38,7.924682687728652e+38,1.1511512403205769e+39,8,0.0,0.0
pre-peak,log_sigma_star,8.125,HB4861,3.3964926981466888e+38,2.77144936199779e+38,4.025400983186292e+38,8,0.0,0.0
pre-peak,log_sigma_star,8.125,OIII5006,2.7572303875539634e+38,2.1037374775479973e+38,3.445490113903083e+38,8,0.0,0.0
pre-peak,log_sigma_star,8.125,NII6583,3.862511658645408e+38,3.323652940564625e+38,4.423382419865574e+38,8,0.0,0.0
pre-peak,log_sigma_star,8.125,SII_SUM,4.622022144560758e+38,3.8707855803188705e+38,5.391070998871217e+38,8,0.0,0.0
pre-peak,log_sigma_star,8.125,F_ND,0.0696723291461709,0.035989681375107704,0.10148564592934228,8,0.0032,0.0
pre-peak,log_sigma_star,8.375,O,0.5792719807425191,0.493744732688431,0.6631150741238696,8,0.0,0.0
pre-peak,log_sigma_star,8.375,I,0.04140341042757252,0.034781366421846656,0.0484127131832388,8,0.0,0.0
pre-peak,log_sigma_star,8.375,T,0.0239838355678754,0.01898151255263781,0.028889931568167573,8,0.0,0.0
pre-peak,log_sigma_star,8.375,F_SF,0.5792719807425191,0.493744732688431,0.6631150741238696,8,0.0,0.0
pre-peak,log_sigma_star,8.375,F_NSF,0.3665388908514352,0.3023788183115243,0.4318438061930196,8,0.0,0.0
pre-peak,log_sigma_star,8.375,I_NSF,1.6219169922941545e+39,1.0988616759591238e+39,2.13961337348624e+39,8,0.0,0.0
pre-peak,log_sigma_star,8.375,J_NSF,5.828764096380381e+38,3.107591212252484e+38,8.556767518037727e+38,8,0.0,0.0
pre-peak,log_sigma_star,8.375,HA6562,1.6733399912508312e+39,1.1545889309471241e+39,2.181390104807591e+39,8,0.0,0.0
pre-peak,log_sigma_star,8.375,HB4861,5.852143803647814e+38,4.0384068505669056e+38,7.628377489525336e+38,8,0.0,0.0
pre-peak,log_sigma_star,8.375,OIII5006,5.0793974851423675e+38,3.191714886782005e+38,6.88960334179516e+38,8,0.0,0.0
pre-peak,log_sigma_star,8.375,NII6583,6.332960677143958e+38,5.1535654621521015e+38,7.550829875187391e+38,8,0.0,0.0
pre-peak,log_sigma_star,8.375,SII_SUM,7.48659722086726e+38,5.4615487051538116e+38,9.505800907711545e+38,8,0.0,0.0
pre-peak,log_sigma_star,8.375,F_ND,0.054189128406045756,0.028556450052715777,0.07982180675937572,8,0.0032,0.0
pre-peak,log_sigma_star,8.625,O,0.49856635388581955,0.3627674447763868,0.6339239855367309,7,0.0,0.0
pre-peak,log_sigma_star,8.625,I,0.09122052464085469,0.0695856586218209,0.11156627131934965,7,0.0,0.0
pre-peak,log_sigma_star,8.625,T,0.04547948436974248,0.02973060968743828,0.061114610506489024,7,0.0,0.0
pre-peak,log_sigma_star,8.625,F_SF,0.49856635388581955,0.3627674447763868,0.6339239855367309,7,0.0,0.0
pre-peak,log_sigma_star,8.625,F_NSF,0.46868669982232997,0.34733960970853867,0.5892437474409814,7,0.0,0.0
pre-peak,log_sigma_star,8.625,I_NSF,3.511633016203135e+39,1.527628870962682e+39,5.376767230733974e+39,6,0.0,0.0
pre-peak,log_sigma_star,8.625,J_NSF,1.1652337542119347e+39,5.470258515722773e+38,1.755008613975217e+39,7,0.0,0.0
