b,SFR_Msun_per_yr,epsilon_per_Gyr,gas_to_stellar_mass,Z_mass_fraction,age_Gyr,inflow_Msun_per_yr
1.500000000000000000e+00,2.988210675966374197e+01,6.510761959459510084e-01,9.157552047008572504e-01,9.768494009382934495e-03,4.245328045798777872e+00,3.189251822293230276e+01
1.500000000000000000e+00,3.000819159831210925e+01,6.552012750786764261e-01,9.138293241155294178e-01,9.775928062665521778e-03,4.225817651318227064e+00,3.201692324430324277e+01
1.500000000000000000e+00,3.013427643696048008e+01,6.593350294726567640e-01,9.119155433256939114e-01,9.783321478123108150e-03,4.206477825681645299e+00,3.214132315431518805e+01
1.500000000000000000e+00,3.026036127560885092e+01,6.634774409597056222e-01,9.100137361600648678e-01,9.790674600540758693e-03,4.187306378830337295e+00,3.226571804550195566e+01
1.500000000000000000e+00,3.038644611425722175e+01,6.676284914853076735e-01,9.081237782816271586e-01,9.797987770551300907e-03,4.168301157736093998e+00,3.239010800906790877e+01
1.500000000000000000e+00,3.051253095290559259e+01,6.717881631074376081e-01,9.062455471534948126e-01,9.805261324701051648e-03,4.149460045625444238e+00,3.251449313491023219e+01
1.500000000000000000e+00,3.063861579155396342e+01,6.759564379953969526e-01,9.043789220055393763e-01,9.812495595514265576e-03,4.130780961223269543e+00,3.263887351164085260e+01
1.500000000000000000e+00,3.076470063020233070e+01,6.801332984286678762e-01,9.025237838017725611e-01,9.819690911556324189e-03,4.112261858015232363e+00,3.276324922660780459e+01
1.500000000000000000e+00,3.089078546885070153e+01,6.843187267957823172e-01,9.006800152084636357e-01,9.826847597495658518e-03,4.093900723528446584e+00,3.288762036591626980e+01
1.500000000000000000e+00,3.101687030749907237e+01,6.885127055932093176e-01,8.988475005629668058e-01,9.833965974164507809e-03,4.075695578629894733e+00,3.301198701444909744e+01
1.500000000000000000e+00,3.114295514614744320e+01,6.927152174242555693e-01,8.970261258432467022e-01,9.841046358618472586e-03,4.057644476842081183e+00,3.313634925588703339e+01
1.500000000000000000e+00,3.126903998479581404e+01,6.969262449979842788e-01,8.952157786380781079e-01,9.848089064194919320e-03,4.039745503675402638e+00,3.326070717272843780e+01
1.500000000000000000e+00,3.139512482344418132e+01,7.011457711281467997e-01,8.934163481179068222e-01,9.855094400570271404e-03,4.021996775976806937e+00,3.338506084630868287e+01
1.500000000000000000e+00,3.152120966209255215e+01,7.053737787321312513e-01,8.916277250063504578e-01,9.862062673816189909e-03,4.004396441294231224e+00,3.350941035681917413e+01
1.500000000000000000e+00,3.164729450074092298e+01,7.096102508299251266e-01,8.898498015523234050e-01,9.868994186454704831e-03,3.986942677256424261e+00,3.363375578332593108e+01
1.500000000000000000e+00,3.177337933938929382e+01,7.138551705430917771e-01,8.880824715027744176e-01,9.875889237512262137e-03,3.969633690967681705e+00,3.375809720378789081e+01
1.500000000000000000e+00,3.189946417803766465e+01,7.181085210937622199e-01,8.863256300760146145e-01,9.882748122572773339e-03,3.952467718417090214e+00,3.388243469507479944e+01
1.500000000000000000e+00,3.202554901668603549e+01,7.223702858036399332e-01,8.845791739356235750e-01,9.889571133829655469e-03,3.935443023901901149e+00,3.400676833298476254e+01
1.500000000000000000e+00,3.215163385533440277e+01,7.266404480930205301e-01,8.828430011649196496e-01,9.896358560136899601e-03,3.918557899464598648e+00,3.413109819226149710e+01
1.500000000000000000e+00,3.227771869398277715e+01,7.309189914798235321e-01,8.811170112419803857e-01,9.903110687059160991e-03,3.901810664343321022e+00,3.425542434661122826e+01
1.500000000000000000e+00,3.240380353263114444e+01,7.352058995786382445e-01,8.794011050151948616e-01,9.909827796920947160e-03,3.885199664435254441e+00,3.437974686871921648e+01
